time,open,high,low,close,tick_volume
2024-07-02 06:45:00,1.07296,1.07302,1.07246,1.07247,463
2024-07-02 07:00:00,1.07248,1.07278,1.07213,1.07226,696
2024-07-02 07:15:00,1.07225,1.07226,1.07123,1.07159,682
2024-07-02 07:30:00,1.07159,1.07199,1.07122,1.0713,606
2024-07-02 07:45:00,1.0713,1.07193,1.07117,1.07177,572
2024-07-02 08:00:00,1.07177,1.07234,1.07156,1.07205,604
2024-07-02 08:15:00,1.07206,1.07208,1.07142,1.07146,559
2024-07-02 08:30:00,1.07147,1.07186,1.0714,1.07186,465
2024-07-02 08:45:00,1.07186,1.07226,1.07172,1.07205,475
2024-07-02 09:00:00,1.07202,1.07223,1.07163,1.07177,522
2024-07-02 09:15:00,1.07178,1.07199,1.07125,1.07152,542
2024-07-02 09:30:00,1.07151,1.07174,1.07134,1.07142,444
2024-07-02 09:45:00,1.07142,1.07148,1.07102,1.07106,430
2024-07-02 10:00:00,1.07106,1.07121,1.07096,1.071,325
2024-07-02 10:15:00,1.07101,1.07184,1.07101,1.07174,412
2024-07-02 10:30:00,1.07174,1.07176,1.07107,1.07155,394
2024-07-02 10:45:00,1.07155,1.07172,1.07135,1.07168,465
2024-07-02 11:00:00,1.07169,1.07179,1.07144,1.07176,361
2024-07-02 11:15:00,1.07176,1.07181,1.07147,1.07179,318
2024-07-02 11:30:00,1.07179,1.07215,1.07176,1.072,297
2024-07-02 11:45:00,1.072,1.0724,1.072,1.07233,317
2024-07-02 12:00:00,1.07234,1.07298,1.07234,1.07295,543
2024-07-02 12:15:00,1.07294,1.07327,1.07274,1.07276,523
2024-07-02 12:30:00,1.07276,1.07305,1.07264,1.07291,500
2024-07-02 12:45:00,1.0729,1.07331,1.0728,1.07312,512
2024-07-02 13:00:00,1.07312,1.07361,1.07303,1.07317,705
2024-07-02 13:15:00,1.07317,1.07362,1.07295,1.07351,561
2024-07-02 13:30:00,1.07353,1.07463,1.07311,1.07424,1014
2024-07-02 13:45:00,1.07427,1.07447,1.07382,1.07415,992
2024-07-02 14:00:00,1.07415,1.07445,1.0723799999999999,1.07295,1770
2024-07-02 14:15:00,1.07297,1.07319,1.07252,1.07308,969
2024-07-02 14:30:00,1.0731,1.07356,1.07262,1.07267,845
2024-07-02 14:45:00,1.07267,1.07427,1.07259,1.07426,862
2024-07-02 15:00:00,1.07429,1.07439,1.07354,1.07383,718
2024-07-02 15:15:00,1.07384,1.07394,1.07349,1.07371,512
2024-07-02 15:30:00,1.07371,1.07378,1.07337,1.07341,474
2024-07-02 15:45:00,1.07342,1.0737,1.07328,1.07361,436
2024-07-02 16:00:00,1.07359,1.07363,1.07314,1.07329,416
2024-07-02 16:15:00,1.07326,1.07342,1.07311,1.07318,332
2024-07-02 16:30:00,1.07318,1.07329,1.07302,1.0732,308
2024-07-02 16:45:00,1.0732,1.07325,1.07301,1.07317,263
2024-07-02 17:00:00,1.07317,1.07359,1.07311,1.07353,309
2024-07-02 17:15:00,1.07353,1.0735999999999999,1.07336,1.07353,238
2024-07-02 17:30:00,1.07354,1.07364,1.07325,1.0735999999999999,262
2024-07-02 17:45:00,1.0735999999999999,1.07401,1.07353,1.0737700000000001,241
2024-07-02 18:00:00,1.0737700000000001,1.07419,1.07375,1.07415,168
2024-07-02 18:15:00,1.07415,1.07416,1.07402,1.07404,188
2024-07-02 18:30:00,1.07404,1.07411,1.07386,1.07399,197
2024-07-02 18:45:00,1.07399,1.07422,1.07392,1.07416,263
2024-07-02 19:00:00,1.07415,1.07448,1.0741,1.07447,255
2024-07-02 19:15:00,1.07447,1.07457,1.07423,1.07454,233
2024-07-02 19:30:00,1.07451,1.07459,1.07442,1.07449,254
2024-07-02 19:45:00,1.07449,1.0746,1.07442,1.07456,258
2024-07-02 20:00:00,1.07455,1.07461,1.07446,1.07459,169
2024-07-02 20:15:00,1.07459,1.07466,1.07451,1.07453,155
2024-07-02 20:30:00,1.07453,1.07461,1.07446,1.07451,109
2024-07-02 20:45:00,1.07451,1.07454,1.07432,1.07436,92
2024-07-02 21:00:00,1.0744,1.0745,1.07424,1.07445,147
2024-07-02 21:15:00,1.07446,1.07448,1.0743,1.07434,187
2024-07-02 21:30:00,1.07436,1.07443,1.07416,1.07439,236
2024-07-02 21:45:00,1.07435,1.07446,1.07425,1.07444,131
2024-07-02 22:00:00,1.07445,1.07484,1.07445,1.07479,126
2024-07-02 22:15:00,1.07478,1.07478,1.07464,1.07466,87
2024-07-02 22:30:00,1.07466,1.07473,1.07465,1.07468,98
2024-07-02 22:45:00,1.07467,1.07484,1.07466,1.07481,108
2024-07-02 23:00:00,1.0748199999999999,1.07486,1.07464,1.07467,108
2024-07-02 23:15:00,1.07467,1.07469,1.07462,1.07465,49
2024-07-02 23:30:00,1.07465,1.07487,1.07462,1.07485,112
2024-07-02 23:45:00,1.07485,1.07485,1.07466,1.07475,69
2024-07-03 00:00:00,1.07476,1.07537,1.07475,1.07505,269
2024-07-03 00:15:00,1.07505,1.07532,1.07494,1.07505,242
2024-07-03 00:30:00,1.07505,1.07505,1.07481,1.07487,221
2024-07-03 00:45:00,1.07487,1.07494,1.0747,1.07477,203
2024-07-03 01:00:00,1.07477,1.07477,1.07448,1.07449,203
2024-07-03 01:15:00,1.07449,1.07452,1.07434,1.0744,186
2024-07-03 01:30:00,1.0744,1.07453,1.0742,1.07427,206
2024-07-03 01:45:00,1.07427,1.0743,1.07399,1.07416,205
2024-07-03 02:00:00,1.07416,1.07447,1.07413,1.07441,216
2024-07-03 02:15:00,1.07441,1.07448,1.07435,1.07447,114
2024-07-03 02:30:00,1.07447,1.07463,1.07428,1.0743,197
2024-07-03 02:45:00,1.0743,1.07441,1.07425,1.07434,145
2024-07-03 03:00:00,1.07435,1.07449,1.0743,1.07443,187
2024-07-03 03:15:00,1.07443,1.07447,1.07423,1.0743800000000001,142
2024-07-03 03:30:00,1.0743800000000001,1.07447,1.07433,1.07445,115
2024-07-03 03:45:00,1.07445,1.07448,1.07427,1.07431,111
2024-07-03 04:00:00,1.07431,1.07441,1.07427,1.07437,103
2024-07-03 04:15:00,1.07437,1.07442,1.07431,1.07442,80
2024-07-03 04:30:00,1.07443,1.07443,1.07428,1.07429,89
2024-07-03 04:45:00,1.07429,1.0743,1.07414,1.07419,118
2024-07-03 05:00:00,1.0742,1.0742,1.07371,1.0737700000000001,253
2024-07-03 05:15:00,1.0737700000000001,1.0737700000000001,1.07357,1.07375,187
2024-07-03 05:30:00,1.07375,1.0739,1.07375,1.07387,150
2024-07-03 05:45:00,1.07387,1.07398,1.07364,1.07383,196
2024-07-03 06:00:00,1.07386,1.07407,1.07368,1.07379,390
2024-07-03 06:15:00,1.0738,1.07389,1.07364,1.07369,326
2024-07-03 06:30:00,1.07369,1.07404,1.07364,1.07397,323
